Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
124562.2,x,,[ter-:te-] + <rahli>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124562.3,x,,ter- + <ahl> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124562.4,v,,ter- + <ahli>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124562.5,x,,<terahl> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124563,k,4,teraih,dasar,,,,,
124563.1,v,,[ter-:te-] + <raih>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124563.2,x,,ter- + <aih>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124564,v,2,terairi,dasar,,,,,
124564.1,x,,[ter-:te-] + <rair> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124564.2,x,,[ter-:te-] + <rairi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124564.3,v,,ter- + <air> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124564.4,x,,ter- + <airi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124564.5,x,,<terair> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124565,k,0,terajak,dasar,,,,,
124565.1,x,,[ter-:te-] + <rajak>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124565.2,v,,ter- + <ajak>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124566,k,0,terajam,dasar,,,,,
124566.1,v,,[ter-:te-] + <rajam>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124566.2,x,,ter- + <ajam>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124567,k,0,terajang,dasar,,,,,
124567.1,x,,[ter-:te-] + <rajang>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124567.2,x,,ter- + <ajang>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124568,k,0,terajarkan,dasar,,,,,
124568.1,x,,[ter-:te-] + <rajar> + -kan,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124568.2,x,,[ter-:te-] + <rajark> + -an,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124568.3,x,,[ter-:te-] + <rajarkan>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124568.4,v,,ter- + <ajar> + -kan,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124568.5,x,,ter- + <ajark> + -an,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124568.6,x,,ter- + <ajarkan>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124568.7,x,,<terajar> + -kan,bentukan,[29] [S] -kan + (<all>),,,,
124568.8,x,,<terajark> + -an,bentukan,[38] [S] -an + (<all>),,,,
,,,,,,,,,
124569,k,0,terajin,dasar,,,,,
124569.1,v,,[ter-:te-] + <rajin>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124569.2,x,,ter- + <ajin>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
,,,,,,,,,
124570,k,5,teraju,dasar,,,,,
124570.1,x,,[ter-:te-] + <raju>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
